"Year","Mean_perc_change","Median_perc_change","LCI_perc_change","UCI_perc_change"
2015,-1.22820435640037,-1.27924151598998,-7.52431929442004,5.54219861741387
2016,-2.21205252168998,-2.25133211894292,-9.85644409110288,5.69833702581534
2017,-3.21505036014576,-3.12733092492632,-12.7925208017791,5.31577728770106
2018,-4.17733498204084,-3.7871953796716,-15.1715941277236,5.95279667715191
2019,-5.25339624749209,-4.72080292116133,-18.0001186792358,5.78398298870036
2020,-6.24778878312079,-5.31835163456915,-20.7162436083558,5.71809437393956
2021,-7.40333927788994,-6.26090019839503,-22.8969096354553,5.09355537740618
2022,-8.4190403559224,-6.791819162514,-25.5458034077835,4.73209249109442
2023,-9.88666112678182,-7.92712095712337,-28.0036617086973,3.88252065986337
2024,-11.5552290530376,-8.98166197341495,-31.1092871701002,2.94918373430563
2025,-12.6844413020023,-9.46009707969236,-33.8897992155026,1.98724333367452
2026,-13.7944281687606,-10.1041663638436,-36.8506678463201,0.839631966243329
2027,-15.0563712483089,-10.9017535648843,-39.0057448371104,0.735553347724086
2028,-16.4884049898201,-11.7167213434093,-41.3832470071287,-0.207615727526355
2029,-17.2209948354882,-12.5848247359608,-44.1562059427453,-0.456161950571611
2030,-18.9332431291609,-13.9953315976667,-47.5941231692971,-0.969159945037077
2031,-20.0612613827615,-14.4079533666078,-50.3534633683182,-1.56205674691313
2032,-21.1854149477003,-15.2037451261536,-52.1620821083159,-2.80177150220806
2033,-21.9225321822379,-15.2208707557692,-54.4444859304777,-2.19875725337689
2034,-22.4993608018733,-15.6318393045713,-56.6536596648032,-2.89588850309389
2035,-23.811862582725,-16.2222758077045,-59.0275795043686,-3.72271844126933
2036,-24.9198538330601,-17.3481262474492,-62.0108492745115,-4.26451788571024
2037,-26.4280019870751,-18.3320111256659,-63.8521919627528,-5.25812669897545
2038,-27.8118210929867,-19.0845742361795,-65.8477676610976,-5.65503161379043
2039,-28.747796081487,-19.7606599770508,-67.123060993981,-5.50953775859899
2040,-29.8993638750399,-20.2368329377471,-69.7973516047415,-6.41817034451918
2041,-30.8132918182209,-20.867232181218,-71.2564182328827,-7.25951591369971
2042,-31.8823461113304,-21.8278044790905,-72.7795174602867,-7.63992310478815
2043,-33.6153546846512,-23.4014134161114,-74.2595917527659,-8.40535615150178
2044,-34.3078619367419,-23.6735363213678,-75.9323426802067,-9.53725665507384
2045,-35.601649897189,-24.8374316089237,-78.1538677715764,-9.74297833824697
2046,-36.9386141739613,-26.2521637029889,-79.7662337505679,-10.7255900002447
2047,-37.6373007427354,-26.7602054780535,-80.9329670866168,-12.4746490242376
2048,-39.5488623581041,-28.0256005515004,-82.7225337125323,-12.886686224749
2049,-39.9247832319406,-28.3973668315788,-83.7461178310175,-13.0755735280069
2050,-41.3273126145108,-29.229934921902,-85.2485813057644,-14.2552864293828
2051,-42.0707655154146,-30.5388617874869,-85.9060152009925,-14.5102668811789
2052,-43.0024570136411,-31.392559339759,-87.0641546753102,-15.753318625493
2053,-44.0833653546505,-32.0010099433454,-88.3679390871712,-16.2676995438405
2054,-45.0164105993678,-33.0844314086266,-89.1555016148512,-16.1655018404664
2055,-45.4511052865753,-33.6422911236103,-90.2452061812356,-16.5545563551221
2056,-46.3741566796032,-34.290835607772,-91.0638778223907,-17.3846333346603
2057,-46.711479644776,-34.6717142877327,-91.4983163577618,-17.946341227251
2058,-48.3316127136524,-36.1060581187221,-92.4083887236606,-18.9981459346302
2059,-49.3481651365139,-36.8596809638492,-93.1358092132,-19.7921904644128
2060,-49.7309674219212,-37.858641680498,-93.6905548982879,-19.8971655461984
2061,-50.2549638347796,-38.0717132742095,-94.24491483123,-20.3249557985173
2062,-51.10666550453,-38.8253456829303,-94.8689667663954,-21.2833861778586
2063,-52.0916299739391,-39.9467495466629,-95.2606184484467,-22.6942766539021
2064,-52.3455892279528,-40.4626294848818,-95.7558966330741,-23.1145947697337
2065,-53.3555853683595,-41.323591587784,-96.0173271095965,-23.6792418636673
2066,-54.4533038544751,-42.3687041872348,-96.5364303518988,-24.2180227190654
2067,-54.5634612318218,-42.9272756688182,-96.822231521718,-24.9956636428885
2068,-55.7162942177882,-44.2235169745773,-97.0623764312112,-26.1440692539402
2069,-56.2121160084231,-44.4728270802808,-97.4142530742497,-26.7092048787633
2070,-57.4182432614073,-45.9421694592769,-97.7106436365878,-28.1698984246329
2071,-57.444326208495,-46.5981094400626,-98.0036686058321,-28.2652765468546
2072,-58.9346711915077,-47.6409822846156,-98.12822737797,-29.2713636629232
2073,-59.5949097241958,-48.6570856748497,-98.2859032640559,-30.6253878015367
2074,-60.5242487330474,-49.4239954680948,-98.4376070734225,-31.6633439163902
2075,-61.0813351150748,-50.3955015394141,-98.5647731837823,-32.3228744046552
2076,-61.0573605768021,-50.9045860469857,-98.7815891294731,-32.822102544093
2077,-62.2541481388939,-52.0835087184261,-98.8965658677599,-33.8597158423448
2078,-62.5884848689835,-52.7502301325298,-99.0055804526278,-33.4799611050282
2079,-63.4682250685224,-53.7467090322885,-99.1257236883307,-34.549396374288
2080,-63.8435763665031,-54.2484012250763,-99.1535791117708,-35.3919548460852
2081,-64.8873011440572,-55.4607280764423,-99.2546099049887,-36.5675640784401
2082,-65.4540793026743,-56.2147659666626,-99.3311141580264,-36.4765389466959
2083,-65.8334456912287,-56.732978444167,-99.3951741932555,-38.2971504416091
2084,-66.632897701451,-57.8631394129142,-99.4757762928514,-39.0659225300407
2085,-66.9713411949894,-58.2352370589214,-99.5515061614748,-39.3131992902254
2086,-67.8153080651596,-59.6253200488384,-99.6046164002349,-40.1463600804849
2087,-68.482081532307,-60.6404473993664,-99.6373484744952,-41.2839516109543
2088,-68.7999755639326,-60.9056934748043,-99.6732894406948,-42.3119389560205
2089,-69.5954102460723,-61.9333185866424,-99.7073647359953,-42.4557885881321
2090,-70.20935134133,-62.4878767689321,-99.7654435816563,-43.7502127547704
2091,-70.4932123604185,-63.0508182695144,-99.7951231789398,-43.6373440922878
2092,-71.2797649111038,-63.8441672293645,-99.8059326684143,-45.6650328090848
2093,-71.6911170890403,-64.4912152167425,-99.8215131524178,-45.0757746089506
2094,-71.90909297064,-64.9661280074526,-99.8544709809264,-45.6478001374573
2095,-72.7007824703641,-65.5639043601232,-99.8819773551072,-47.0397290771041
2096,-73.3542250729087,-66.4190687442916,-99.8814933935166,-46.9520530050987
2097,-73.1652578115713,-66.68075402479,-99.9066608976385,-47.0067397302182
2098,-74.2863164472632,-67.9475766675968,-99.9220423213874,-48.5587908092607
2099,-74.8247266492042,-68.7310925274794,-99.9294596289099,-49.754413200258
2100,-74.8272865189047,-69.0782924436621,-99.9450397597471,-49.6794820983286
